City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
96,Kruisfontein,-34.0033,24.7314,54.91,64,83,5.7,broken clouds,ZA,2022-05-28 02:44:00
97,Nikolskoye,59.7035,30.7861,50.72,96,100,1.83,overcast clouds,RU,2022-05-28 02:44:01
98,Vila Velha,-20.3297,-40.2925,67.95,96,75,4.61,broken clouds,BR,2022-05-28 02:40:01
99,Port Elizabeth,-33.918,25.5701,52.09,100,0,2.3,clear sky,ZA,2022-05-28 02:44:02
100,Mareeba,-17.0,145.4333,81.66,59,53,1.1,broken clouds,AU,2022-05-28 02:44:02
101,Ouro Preto Do Oeste,-10.7481,-62.2158,71.87,75,15,3.13,few clouds,BR,2022-05-28 02:44:02
102,Ornskoldsvik,63.2909,18.7153,46.29,90,100,6.71,overcast clouds,SE,2022-05-28 02:41:12
103,Saraland,30.8207,-88.0706,75.24,59,0,4.59,clear sky,US,2022-05-28 02:44:03
104,Caravelas,-17.7125,-39.2481,70.48,90,95,5.79,overcast clouds,BR,2022-05-28 02:44:03
105,Mar Del Plata,-38.0023,-57.5575,47.08,86,0,3.0,clear sky,AR,2022-05-28 02:41:27
106,Saldanha,-33.0117,17.9442,55.45,90,2,5.06,clear sky,ZA,2022-05-28 02:44:04
107,Aklavik,68.2191,-135.0107,38.17,61,99,16.87,overcast clouds,CA,2022-05-28 02:44:05
108,Mandalgovi,45.7625,106.2708,46.81,75,100,9.55,overcast clouds,MN,2022-05-28 02:44:05
109,Yarkovo,57.4028,67.0786,55.56,68,11,9.31,few clouds,RU,2022-05-28 02:44:06
110,Vostok,46.4856,135.8833,55.36,79,99,2.93,overcast clouds,RU,2022-05-28 02:44:06
111,Deputatskiy,69.3,139.9,31.33,84,100,1.77,overcast clouds,RU,2022-05-28 02:44:06
112,Roma,43.2128,-75.4557,65.95,94,75,5.75,broken clouds,US,2022-05-28 02:44:07
113,Broken Hill,-31.95,141.4333,60.22,52,0,9.53,clear sky,AU,2022-05-28 02:44:07
114,Sile,41.1754,29.6133,63.27,75,0,4.27,clear sky,TR,2022-05-28 02:44:08
115,Beloha,-25.1667,45.05,59.92,70,1,5.35,clear sky,MG,2022-05-28 02:44:08
116,Chapais,49.7834,-74.8492,51.58,97,100,6.42,overcast clouds,CA,2022-05-28 02:44:09
117,Saint George,37.1041,-113.5841,91.99,9,0,6.91,clear sky,US,2022-05-28 02:39:26
118,Tuatapere,-46.1333,167.6833,55.15,74,100,4.21,light rain,NZ,2022-05-28 02:44:09
119,Lamar,33.6668,-95.5836,75.11,53,0,4.61,clear sky,US,2022-05-28 02:44:10
120,Mamboma,8.0833,-11.6833,73.04,99,100,0.87,overcast clouds,SL,2022-05-28 02:44:10
121,Ust-Ilimsk,58.0006,102.6619,51.31,28,2,9.15,clear sky,RU,2022-05-28 02:44:11
122,Waingapu,-9.6567,120.2641,84.49,69,100,11.65,overcast clouds,ID,2022-05-28 02:44:11
123,Pisco,-13.7,-76.2167,60.85,82,11,3.44,mist,PE,2022-05-28 02:44:12
124,Sorong,-0.8833,131.25,83.52,72,37,4.23,scattered clouds,ID,2022-05-28 02:44:12
125,Salur,18.5333,83.2167,100.02,23,0,4.43,clear sky,IN,2022-05-28 02:44:13
126,Qasigiannguit,68.8193,-51.1922,34.05,90,96,3.71,overcast clouds,GL,2022-05-28 02:44:13
127,Todos Santos,23.45,-110.2167,86.05,65,2,6.26,clear sky,MX,2022-05-28 02:44:13
128,Gobabis,-22.45,18.9667,53.55,31,0,10.8,clear sky,NA,2022-05-28 02:44:14
129,Mount Gambier,-37.8333,140.7667,57.51,73,70,9.01,broken clouds,AU,2022-05-28 02:44:14
130,Turan,16.0678,108.2208,93.18,52,0,5.75,clear sky,VN,2022-05-28 02:43:13
131,Kodiak,57.79,-152.4072,63.91,45,0,5.75,clear sky,US,2022-05-28 02:44:15
132,Soyo,-6.1349,12.3689,72.41,86,1,5.99,clear sky,AO,2022-05-28 02:44:16
133,Farah,32.5,62.5,67.28,32,0,7.18,clear sky,AF,2022-05-28 02:44:16
134,Prieska,-29.6641,22.7474,58.46,43,0,4.5,clear sky,ZA,2022-05-28 02:44:17
135,Kamaishi,39.2667,141.8833,64.45,64,66,12.73,broken clouds,JP,2022-05-28 02:44:17
136,La Palma,33.8464,-118.0467,71.55,69,0,12.66,clear sky,US,2022-05-28 02:44:18
137,Benguela,-12.5763,13.4055,68.29,87,0,1.34,clear sky,AO,2022-05-28 02:44:18
138,Pangody,65.85,74.4859,63.3,37,38,14.45,scattered clouds,RU,2022-05-28 02:44:19
139,Sri Aman,1.2376,111.4621,82.45,78,20,0.0,few clouds,MY,2022-05-28 02:44:19
140,Damavand,35.7178,52.065,59.14,31,0,1.52,clear sky,IR,2022-05-28 02:44:20
141,Belmonte,-15.8631,-38.8828,72.55,88,85,7.9,overcast clouds,BR,2022-05-28 02:44:20
142,Udachnyy,66.4167,112.4,44.46,48,92,4.5,overcast clouds,RU,2022-05-28 02:44:21
143,Vallenar,-28.5708,-70.7581,57.99,63,0,2.01,clear sky,CL,2022-05-28 02:44:21
144,Queanbeyan,-35.35,149.2333,59.36,82,40,4.61,light rain,AU,2022-05-28 02:41:31
145,Matamoros,25.5333,-103.25,85.69,21,1,22.53,clear sky,MX,2022-05-28 02:44:22
146,Mitchell,43.7094,-98.0298,76.98,33,0,12.66,clear sky,US,2022-05-28 02:40:10
147,Mayo,38.8876,-76.5119,70.21,92,100,9.22,overcast clouds,US,2022-05-28 02:44:23
148,Hermanus,-34.4187,19.2345,59.29,74,30,4.94,scattered clouds,ZA,2022-05-28 02:44:23
149,Pangnirtung,66.1451,-65.7125,14.36,94,60,7.63,broken clouds,CA,2022-05-28 02:44:24
150,Aldan,58.6031,125.3894,48.67,85,99,4.76,overcast clouds,RU,2022-05-28 02:44:24
151,Roald,62.5833,6.1333,49.91,93,100,9.22,light intensity drizzle,NO,2022-05-28 02:44:25
152,Igarka,67.4667,86.5833,53.96,48,11,4.41,few clouds,RU,2022-05-28 02:44:25
153,Half Moon Bay,37.4636,-122.4286,67.53,81,100,18.41,mist,US,2022-05-28 02:44:26
154,Paamiut,61.994,-49.6678,31.98,89,87,22.84,overcast clouds,GL,2022-05-28 02:44:26
155,Ponta Do Sol,32.6667,-17.1,67.01,71,50,5.44,scattered clouds,PT,2022-05-28 02:44:27
156,Ust-Kuyga,70.0167,135.6,36.81,60,93,1.25,overcast clouds,RU,2022-05-28 02:44:27
157,Chumikan,54.7183,135.315,34.45,95,100,21.36,snow,RU,2022-05-28 02:44:27
158,Messina,38.1933,15.5497,71.8,48,40,5.75,scattered clouds,IT,2022-05-28 02:43:06
159,Zyryanka,65.75,150.85,51.17,41,51,1.9,broken clouds,RU,2022-05-28 02:44:28
160,Kazachinskoye,57.6953,93.2761,59.49,32,0,6.02,clear sky,RU,2022-05-28 02:44:28
161,Tianpeng,30.9866,103.9393,70.27,58,72,6.51,broken clouds,CN,2022-05-28 02:44:29
162,Takoradi,4.8845,-1.7554,78.78,85,87,2.21,light rain,GH,2022-05-28 02:44:29
163,College,64.8569,-147.8028,72.0,22,20,8.05,few clouds,US,2022-05-28 02:44:30
164,Ordu,40.9086,37.6845,43.3,59,0,5.44,clear sky,TR,2022-05-28 02:44:30
165,Havre-Saint-Pierre,50.2334,-63.5986,44.96,87,100,13.8,overcast clouds,CA,2022-05-28 02:44:31
166,Suntar,62.1444,117.6319,52.34,36,93,11.7,overcast clouds,RU,2022-05-28 02:44:31
167,Chilmari,25.5559,89.6715,83.86,66,2,8.28,clear sky,BD,2022-05-28 02:44:31
168,Beringovskiy,63.05,179.3167,45.34,73,83,16.8,broken clouds,RU,2022-05-28 02:44:32
169,Sosua,19.7667,-70.5167,75.24,94,40,0.0,scattered clouds,DO,2022-05-28 02:44:32
170,Arraial Do Cabo,-22.9661,-42.0278,71.62,84,100,23.06,overcast clouds,BR,2022-05-28 02:44:33
171,Along,28.1667,94.7667,80.82,74,95,1.41,overcast clouds,IN,2022-05-28 02:44:33
172,Dingle,10.9995,122.6711,86.41,69,100,10.67,overcast clouds,PH,2022-05-28 02:44:34
173,Merauke,-8.4667,140.3333,87.19,58,19,8.14,few clouds,ID,2022-05-28 02:44:34
174,Victoria,22.2855,114.1577,90.18,80,76,11.01,broken clouds,HK,2022-05-28 02:41:28
175,Lorengau,-2.0226,147.2712,84.56,56,100,3.78,overcast clouds,PG,2022-05-28 02:44:35
176,Bahia Blanca,-38.7196,-62.2724,42.94,59,91,3.76,overcast clouds,AR,2022-05-28 02:44:35
177,Lisakovsk,52.5369,62.4936,61.11,52,13,13.15,few clouds,KZ,2022-05-28 02:44:35
178,High Level,58.5169,-117.136,60.91,59,75,3.44,broken clouds,CA,2022-05-28 02:44:36
179,Codrington,-38.2667,141.9667,59.07,63,82,10.78,broken clouds,AU,2022-05-28 02:44:36
180,Opuwo,-18.0607,13.84,57.06,39,0,4.29,clear sky,NA,2022-05-28 02:44:37
181,Baiyin,36.5583,104.2081,75.13,23,100,10.63,overcast clouds,CN,2022-05-28 02:44:37
182,Overland,38.7012,-90.3623,61.54,89,28,2.82,scattered clouds,US,2022-05-28 02:44:38
183,Clyde River,70.4692,-68.5914,17.83,93,100,4.61,light snow,CA,2022-05-28 02:41:07
184,Wuwei,37.9281,102.6414,81.37,16,9,9.84,clear sky,CN,2022-05-28 02:44:39
185,Skjervoy,70.0311,20.9714,42.8,86,97,16.93,overcast clouds,NO,2022-05-28 02:44:40
186,Cockburn Town,21.4612,-71.1419,80.42,72,57,19.95,broken clouds,TC,2022-05-28 02:40:41
187,Dubuque,42.4833,-90.8668,63.19,67,0,0.0,clear sky,US,2022-05-28 02:44:40
188,Oyama,36.3,139.8,78.58,25,1,8.9,clear sky,JP,2022-05-28 02:44:41
189,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,72.12,99,100,1.79,moderate rain,BR,2022-05-28 02:44:41
190,Mingguang,32.7802,117.9638,74.61,56,100,7.47,overcast clouds,CN,2022-05-28 02:44:42
191,Teya,60.3778,92.6267,58.01,33,11,3.18,few clouds,RU,2022-05-28 02:44:42
192,Richards Bay,-28.783,32.0377,63.37,93,0,7.87,clear sky,ZA,2022-05-28 02:44:42
193,Muros,42.7762,-9.0603,64.83,71,30,7.76,scattered clouds,ES,2022-05-28 02:44:43
194,Atuona,-9.8,-139.0333,78.55,73,8,18.19,clear sky,PF,2022-05-28 02:44:44
195,Malartic,48.1335,-78.1328,53.71,90,100,7.54,overcast clouds,CA,2022-05-28 02:44:44
196,New Norfolk,-42.7826,147.0587,54.91,72,74,3.04,broken clouds,AU,2022-05-28 02:44:44
197,Izumo,35.3667,132.7667,76.95,53,75,21.85,broken clouds,JP,2022-05-28 02:44:45
198,Mahebourg,-20.4081,57.7,71.89,88,40,6.91,scattered clouds,MU,2022-05-28 02:44:45
199,Aripuana,-9.1667,-60.6333,76.5,67,79,2.82,broken clouds,BR,2022-05-28 02:44:46
200,Cidreira,-30.1811,-50.2056,63.88,93,100,4.76,overcast clouds,BR,2022-05-28 02:44:46
201,San Martin,-33.081,-68.4681,41.54,68,0,8.08,clear sky,AR,2022-05-28 02:44:47
202,Bo Phloi,14.3236,99.5161,87.75,56,98,8.95,overcast clouds,TH,2022-05-28 02:44:48
203,Saint-Louis,16.3333,-15.0,81.1,59,100,4.7,overcast clouds,SN,2022-05-28 02:44:48
204,Itapaci,-14.9508,-49.5494,67.19,57,100,2.84,overcast clouds,BR,2022-05-28 02:44:49
205,Vanimo,-2.6741,141.3028,86.63,64,71,6.67,broken clouds,PG,2022-05-28 02:44:49
206,Khorixas,-20.3667,14.9667,62.29,30,0,5.82,clear sky,NA,2022-05-28 02:44:50
207,Kawalu,-7.3817,108.2082,85.55,57,71,2.01,broken clouds,ID,2022-05-28 02:44:50
208,Upernavik,72.7868,-56.1549,28.54,94,100,12.75,overcast clouds,GL,2022-05-28 02:44:51
209,Shawnee,39.05,-95.7669,71.46,70,0,9.22,clear sky,US,2022-05-28 02:44:51
