City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,Half Moon Bay,37.4636,-122.4286,294.83,78,100,7.72,US,2022-05-28 01:44:11
154,Paamiut,61.994,-49.6678,273.17,89,80,10.05,GL,2022-05-28 01:48:23
155,Ponta Do Sol,32.6667,-17.1,292.6,69,53,2.89,PT,2022-05-28 01:48:23
156,Ust-Kuyga,70.0167,135.6,275.05,62,96,0.46,RU,2022-05-28 01:48:24
157,Chumikan,54.7183,135.315,275.05,91,100,9.07,RU,2022-05-28 01:48:24
158,Messina,38.1933,15.5497,295.26,45,40,2.57,IT,2022-05-28 01:45:08
159,Zyryanka,65.75,150.85,283.09,42,55,1.37,RU,2022-05-28 01:48:25
160,Kazachinskoye,57.6953,93.2761,287.14,37,0,2.49,RU,2022-05-28 01:48:25
161,Tianpeng,30.9866,103.9393,292.41,63,77,2.54,CN,2022-05-28 01:48:26
162,Takoradi,4.8845,-1.7554,299.37,83,80,0.65,GH,2022-05-28 01:48:26
163,College,64.8569,-147.8028,296.19,23,20,6.17,US,2022-05-28 01:48:27
164,Ordu,40.9086,37.6845,280.43,59,0,2.48,TR,2022-05-28 01:48:27
165,Havre-Saint-Pierre,50.2334,-63.5986,280.35,87,100,6.69,CA,2022-05-28 01:48:28
166,Suntar,62.1444,117.6319,283.35,37,99,5.26,RU,2022-05-28 01:48:28
167,Chilmari,25.5559,89.6715,300.36,71,2,4.44,BD,2022-05-28 01:48:28
168,Beringovskiy,63.05,179.3167,280.71,72,88,7.63,RU,2022-05-28 01:48:29
169,Sosua,19.7667,-70.5167,297.17,100,75,0.0,DO,2022-05-28 01:48:29
170,Arraial Do Cabo,-22.9661,-42.0278,295.24,84,100,10.39,BR,2022-05-28 01:48:30
171,Along,28.1667,94.7667,297.85,86,93,0.28,IN,2022-05-28 01:48:30
172,Dingle,10.9995,122.6711,302.66,72,100,4.31,PH,2022-05-28 01:48:31
173,Merauke,-8.4667,140.3333,303.31,60,25,3.96,ID,2022-05-28 01:48:31
174,Victoria,22.2855,114.1577,305.47,84,80,4.02,HK,2022-05-28 01:48:32
175,Lorengau,-2.0226,147.2712,302.37,56,100,1.78,PG,2022-05-28 01:48:32
176,Bahia Blanca,-38.7196,-62.2724,279.43,58,88,1.01,AR,2022-05-28 01:48:32
177,Lisakovsk,52.5369,62.4936,287.4,60,0,4.3,KZ,2022-05-28 01:48:33
178,High Level,58.5169,-117.136,289.21,51,75,2.57,CA,2022-05-28 01:45:06
179,Codrington,-38.2667,141.9667,287.27,66,94,4.98,AU,2022-05-28 01:48:34
180,Opuwo,-18.0607,13.84,287.92,36,0,1.94,NA,2022-05-28 01:48:34
181,Baiyin,36.5583,104.2081,295.46,27,100,4.23,CN,2022-05-28 01:48:35
182,Overland,38.7012,-90.3623,290.76,86,42,1.66,US,2022-05-28 01:48:35
183,Clyde River,70.4692,-68.5914,265.28,93,100,2.57,CA,2022-05-28 01:48:35
184,Wuwei,37.9281,102.6414,298.97,19,9,3.37,CN,2022-05-28 01:48:37
185,Skjervoy,70.0311,20.9714,279.15,84,95,7.03,NO,2022-05-28 01:48:37
186,Cockburn Town,21.4612,-71.1419,299.96,73,35,9.04,TC,2022-05-28 01:44:42
187,Dubuque,42.4833,-90.8668,292.48,59,0,2.06,US,2022-05-28 01:45:27
188,Oyama,36.3,139.8,297.92,28,0,3.45,JP,2022-05-28 01:48:38
189,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,295.54,98,100,0.83,BR,2022-05-28 01:48:39
190,Mingguang,32.7802,117.9638,295.69,52,100,3.05,CN,2022-05-28 01:48:39
191,Teya,60.3778,92.6267,286.2,37,11,1.52,RU,2022-05-28 01:48:40
192,Richards Bay,-28.783,32.0377,290.96,91,0,3.59,ZA,2022-05-28 01:48:40
193,Muros,42.7762,-9.0603,291.95,66,23,3.46,ES,2022-05-28 01:48:41
194,Atuona,-9.8,-139.0333,299.03,74,11,8.33,PF,2022-05-28 01:48:41
195,Malartic,48.1335,-78.1328,285.21,90,100,2.89,CA,2022-05-28 01:45:19
196,New Norfolk,-42.7826,147.0587,285.33,82,60,1.32,AU,2022-05-28 01:48:42
197,Izumo,35.3667,132.7667,298.12,60,75,10.29,JP,2022-05-28 01:48:42
198,Mahebourg,-20.4081,57.7,294.31,88,20,2.57,MU,2022-05-28 01:48:43
199,Aripuana,-9.1667,-60.6333,298.51,65,84,1.13,BR,2022-05-28 01:43:49
200,Cidreira,-30.1811,-50.2056,290.86,93,100,1.8,BR,2022-05-28 01:48:43
201,San Martin,-33.081,-68.4681,280.45,65,0,3.57,AR,2022-05-28 01:48:44
202,Bo Phloi,14.3236,99.5161,302.11,64,100,3.84,TH,2022-05-28 01:48:44
203,Saint-Louis,16.3333,-15.0,300.19,60,100,0.65,SN,2022-05-28 01:48:45
204,Itapaci,-14.9508,-49.5494,293.4,55,100,1.68,BR,2022-05-28 01:48:45
205,Vanimo,-2.6741,141.3028,303.32,64,91,1.79,PG,2022-05-28 01:48:46
206,Khorixas,-20.3667,14.9667,289.8,30,0,1.84,NA,2022-05-28 01:48:47
207,Kawalu,-7.3817,108.2082,300.5,69,89,1.03,ID,2022-05-28 01:48:47
208,Upernavik,72.7868,-56.1549,271.13,96,100,5.19,GL,2022-05-28 01:48:48
209,Shawnee,39.05,-95.7669,297.07,61,0,3.09,US,2022-05-28 01:48:48
210,Kings Park,40.8862,-73.2573,292.01,91,100,7.2,US,2022-05-28 01:48:48
211,Spearfish,44.4908,-103.8594,295.18,52,0,3.6,US,2022-05-28 01:48:49
212,Nhulunbuy,-12.2333,136.7667,303.49,58,75,6.69,AU,2022-05-28 01:48:49
213,Iskateley,67.6803,53.1512,283.43,71,98,3.41,RU,2022-05-28 01:48:50
214,Santa Vitoria Do Palmar,-33.5189,-53.3681,285.59,91,82,3.4,BR,2022-05-28 01:48:50
215,Bubaque,11.2833,-15.8333,299.0,81,100,3.57,GW,2022-05-28 01:48:51
216,Hualmay,-11.0964,-77.6139,290.14,85,45,3.81,PE,2022-05-28 01:48:51
217,Adrar,20.5022,-10.0711,301.99,43,89,6.06,MR,2022-05-28 01:48:52
218,Douentza,14.9951,-2.9517,307.31,23,90,2.73,ML,2022-05-28 01:48:52
219,Templemore,52.7947,-7.8339,281.17,90,10,1.44,IE,2022-05-28 01:48:52
220,Pringsewu,-5.3582,104.9744,296.74,94,98,0.77,ID,2022-05-28 01:48:53
221,Port Lincoln,-34.7333,135.8667,289.27,63,51,6.65,AU,2022-05-28 01:48:53
222,Khani,41.9563,42.9566,279.91,70,0,2.46,GE,2022-05-28 01:48:54
223,Hithadhoo,-0.6,73.0833,301.76,72,64,4.66,MV,2022-05-28 01:48:55
224,Chifeng,42.2683,118.9636,298.31,30,80,2.83,CN,2022-05-28 01:48:55
225,Horodyshche,49.2849,31.4451,284.49,85,100,5.13,UA,2022-05-28 01:48:56
226,Lodja,-3.4833,23.4333,293.99,94,90,0.13,CD,2022-05-28 01:48:56
227,Rio Gallegos,-51.6226,-69.2181,275.18,87,40,8.75,AR,2022-05-28 01:48:57
228,Menongue,-14.6585,17.691,283.79,62,0,1.57,AO,2022-05-28 01:48:57
229,Garowe,8.4054,48.4845,298.59,68,36,9.72,SO,2022-05-28 01:48:58
230,Unna,51.5333,7.6833,283.36,77,10,5.14,DE,2022-05-28 01:48:58
231,Fort William,56.8165,-5.1121,281.1,89,100,1.25,GB,2022-05-28 01:48:58
232,Pozhva,59.0912,56.0847,282.81,83,100,2.84,RU,2022-05-28 01:48:59
233,Bambous Virieux,-20.3428,57.7575,294.29,88,20,2.57,MU,2022-05-28 01:48:59
234,Ampanihy,-24.7,44.75,287.82,77,0,2.67,MG,2022-05-28 01:49:00
235,Oistins,13.0667,-59.5333,300.2,74,40,7.72,BB,2022-05-28 01:49:00
236,Cooma,-36.2333,149.1333,282.02,100,100,2.57,AU,2022-05-28 01:49:00
237,Abu Kamal,34.4506,40.9171,298.57,24,0,2.99,SY,2022-05-28 01:49:01
238,Nadym,65.5333,72.5167,290.11,36,15,7.35,RU,2022-05-28 01:49:02
239,Yinchuan,38.4681,106.2731,301.02,10,100,2.92,CN,2022-05-28 01:49:02
240,Kulhudhuffushi,6.6221,73.07,301.49,73,61,6.88,MV,2022-05-28 01:49:03
241,Lompoc,34.6391,-120.4579,292.6,63,40,5.14,US,2022-05-28 01:49:03
242,Bengkulu,-3.8004,102.2655,298.92,87,100,4.92,ID,2022-05-28 01:49:04
243,Sangar,63.9242,127.4739,284.83,47,100,0.17,RU,2022-05-28 01:49:04
244,Maniitsoq,65.4167,-52.9,271.3,76,60,3.58,GL,2022-05-28 01:49:05
245,Boddam,57.4667,-1.7833,281.36,89,6,7.9,GB,2022-05-28 01:49:05
246,Sao Joao Da Barra,-21.6403,-41.0511,295.11,83,100,5.02,BR,2022-05-28 01:49:06
247,Iqaluit,63.7506,-68.5145,270.0,86,75,3.09,CA,2022-05-28 01:49:06
248,Pacific Grove,36.6177,-121.9166,291.6,76,0,4.12,US,2022-05-28 01:49:06
249,Port Macquarie,-31.4333,152.9167,295.31,60,94,0.86,AU,2022-05-28 01:46:08
250,Banbury,52.0602,-1.3403,281.95,68,56,3.8,GB,2022-05-28 01:49:07
251,Sorland,67.667,12.6934,280.07,90,100,12.24,NO,2022-05-28 01:49:08
252,Deer Lake,49.1667,-57.4316,279.07,81,75,1.54,CA,2022-05-28 01:49:08
253,Antsirabe,-19.85,47.0333,284.1,96,32,1.71,MG,2022-05-28 01:49:09
254,Teguldet,57.3064,88.1667,288.12,41,84,3.56,RU,2022-05-28 01:49:09
255,Bowen,-20.0167,148.2333,297.5,54,0,1.85,AU,2022-05-28 01:49:09
256,Cerro De Pasco,-10.6833,-76.2667,273.69,94,26,0.99,PE,2022-05-28 01:49:10
257,Muli,2.9167,73.5667,301.79,71,10,6.04,MV,2022-05-28 01:49:10
258,Marawi,7.9986,124.2928,297.48,86,79,2.51,PH,2022-05-28 01:49:11
259,Antalaha,-14.9003,50.2788,293.76,85,33,2.87,MG,2022-05-28 01:49:11
260,Palmares Do Sul,-30.2578,-50.5097,290.66,93,100,1.84,BR,2022-05-28 01:49:12
261,Hovd,48.0056,91.6419,288.97,48,26,5.51,MN,2022-05-28 01:49:13
262,Lyubech,51.7026,30.6569,281.61,94,82,5.34,UA,2022-05-28 01:49:13
263,Letlhakane,-21.4167,25.5833,285.98,80,0,3.87,BW,2022-05-28 01:45:17
264,Waddan,29.1614,16.139,298.32,32,1,3.73,LY,2022-05-28 01:49:14
265,Salalah,17.0151,54.0924,302.2,74,75,2.06,OM,2022-05-28 01:44:54
266,Nome,64.5011,-165.4064,277.19,87,100,6.17,US,2022-05-28 01:46:39
267,Amga,60.8953,131.9608,288.55,44,61,5.05,RU,2022-05-28 01:49:15
268,Maple Creek,49.9168,-109.4848,291.18,63,66,3.6,CA,2022-05-28 01:49:15
269,Marienburg,54.0359,19.0266,281.55,85,100,6.04,PL,2022-05-28 01:49:16
270,Idlib,35.9306,36.6339,294.18,38,0,1.14,SY,2022-05-28 01:49:16
271,Avera,33.194,-82.5271,297.88,57,87,2.96,US,2022-05-28 01:49:17
272,Saint-Philippe,-21.3585,55.7679,293.92,81,56,4.72,RE,2022-05-28 01:49:17
273,Smyrna,33.884,-84.5144,295.96,67,20,4.12,US,2022-05-28 01:49:17
274,Brasilia,-15.7797,-47.9297,291.66,68,0,2.06,BR,2022-05-28 01:44:19
275,Banamba,13.55,-7.45,302.22,49,52,3.8,ML,2022-05-28 01:49:18
276,Fortuna,40.5982,-124.1573,288.67,88,100,4.12,US,2022-05-28 01:49:19
277,Kavieng,-2.5744,150.7967,301.84,60,100,1.6,PG,2022-05-28 01:49:19
278,Toora-Khem,52.4675,96.11,285.82,47,6,2.76,RU,2022-05-28 01:49:19
279,Kuusamo,65.9667,29.1833,277.17,100,100,1.03,FI,2022-05-28 01:49:20
280,Hirado,33.3597,129.5531,294.54,69,100,3.38,JP,2022-05-28 01:49:20
281,Umm Lajj,25.0213,37.2685,299.03,54,0,4.63,SA,2022-05-28 01:49:21
282,Americus,32.0724,-84.2327,300.22,54,40,2.06,US,2022-05-28 01:49:21
283,Hasaki,35.7333,140.8333,300.53,59,1,1.93,JP,2022-05-28 01:49:22
284,Riyadh,24.6877,46.7219,301.23,20,0,2.32,SA,2022-05-28 01:49:22
285,Grindavik,63.8424,-22.4338,282.41,87,75,6.69,IS,2022-05-28 01:49:22
286,Santiago De Cuba,20.0247,-75.8219,300.21,83,20,1.03,CU,2022-05-28 01:49:23
287,Exeter,50.7236,-3.5275,284.25,87,0,1.54,GB,2022-05-28 01:49:23
288,Chimbarongo,-34.7,-71.05,280.22,72,100,0.87,CL,2022-05-28 01:49:24
289,Campbeltown,55.4258,-5.6076,282.18,78,100,5.3,GB,2022-05-28 01:49:24
290,Airai,-8.9266,125.4092,295.53,53,32,1.48,TL,2022-05-28 01:49:25
291,Constitucion,-35.3333,-72.4167,282.26,64,100,2.38,CL,2022-05-28 01:49:25
292,Te Anau,-45.4167,167.7167,285.21,73,100,2.96,NZ,2022-05-28 01:49:26
293,Ungheni,47.2042,27.7958,285.53,80,0,2.57,MD,2022-05-28 01:49:26
294,Paita,-5.0892,-81.1144,291.81,81,68,6.94,PE,2022-05-28 01:49:27
295,Camacha,33.0833,-16.3333,289.83,77,40,4.12,PT,2022-05-28 01:49:27
