City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
277,Kavieng,PG,83.55,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
280,Hirado,JP,71.01,overcast clouds,33.3597,129.5531,Samson Hotel
281,Umm Lajj,SA,79.2,clear sky,25.0213,37.2685,Moon light Furnished Units
282,Americus,US,78.93,broken clouds,32.0724,-84.2327,Best Western Plus Windsor Hotel
283,Hasaki,JP,82.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
284,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
286,Santiago De Cuba,CU,80.71,few clouds,20.0247,-75.8219,Cubanacan San Felix
299,Pascagoula,US,75.25,clear sky,30.3658,-88.5561,Regency Inn
301,Alta Floresta,BR,71.58,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
308,Nicoya,CR,78.17,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
310,Sinnamary,GF,77.85,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
312,Fairbanks,US,72.01,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
313,Monterotondo,IT,72.45,overcast clouds,42.0525,12.6187,Quality Hotel Green Palace
316,Mirador,BR,72.66,clear sky,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
317,Tamayo,DO,76.37,overcast clouds,18.3947,-71.2029,La perla Del Caribe
319,Port Keats,AU,89.8,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
321,Tortona,IT,70.12,scattered clouds,44.8978,8.8637,Ristorante Cavallino
322,Porbandar,IN,82.94,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
324,Faanui,PF,81.54,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
325,Yatou,CN,80.06,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
328,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
329,Tautira,PF,80.04,clear sky,-17.7333,-149.15,Pension Oaoa
330,Sur,OM,88.39,clear sky,22.5667,59.5289,Sur Plaza Hotel
331,Gorontalo,ID,75.96,moderate rain,0.5412,123.0595,Maqna Hotel by Prasanthi
332,Sampit,ID,89.22,few clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
335,Houston,US,87.13,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
340,Shihezi,CN,86.67,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
341,Aswan,EG,81.7,clear sky,24.0934,32.907,Nuba Nile
346,Santa Rita,BR,74.07,heavy intensity rain,-7.1139,-34.9781,Infinity Motel
347,Maceio,BR,74.64,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
348,Cam Ranh,VN,89.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
349,Grand Island,US,75.49,scattered clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
354,Buchanan,LR,77.11,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
355,Cesenatico,IT,71.56,clear sky,44.1999,12.3991,International Hotel Cesenatico
